day_of_month,day_of_week,op_unique_carrier,origin_city_name,origin_state_abr,dest_city_name,dest_state_abr,crs_dep_time,dep_delay,crs_arr_time,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
14,5,OO,"St. Louis, MO",MO,"Denver, CO",CO,1632,125.0,1803,136.0,151.0,162.0,129.0,770.0,136.0,0.0,0.0,0.0,0.0
24,1,HA,"Honolulu, HI",HI,"Pago Pago, TT",TT,1640,26.0,2120,28.0,340.0,342.0,315.0,2599.0,7.0,0.0,0.0,0.0,21.0
22,6,WN,"Denver, CO",CO,"Chicago, IL",IL,810,10.0,1130,16.0,140.0,146.0,112.0,895.0,3.0,0.0,6.0,0.0,7.0
6,4,B6,"San Francisco, CA",CA,"Boston, MA",MA,1447,124.0,2334,90.0,347.0,313.0,290.0,2704.0,0.0,0.0,0.0,0.0,90.0
5,3,UA,"Washington, DC",VA,"Austin, TX",TX,1302,-5.0,1534,16.0,212.0,233.0,206.0,1297.0,0.0,0.0,16.0,0.0,0.0
21,5,DL,"Minneapolis, MN",MN,"Madison, WI",WI,2045,117.0,2146,111.0,61.0,55.0,38.0,228.0,9.0,0.0,0.0,0.0,102.0
16,7,WN,"Tulsa, OK",OK,"Austin, TX",TX,1405,36.0,1530,29.0,85.0,78.0,64.0,426.0,0.0,0.0,0.0,0.0,29.0
15,6,WN,"Phoenix, AZ",AZ,"Chicago, IL",IL,1840,107.0,2350,106.0,190.0,189.0,172.0,1444.0,106.0,0.0,0.0,0.0,0.0
22,6,AA,"Dallas/Fort Worth, TX",TX,"Kansas City, MO",MO,1953,58.0,2124,59.0,91.0,92.0,66.0,460.0,22.0,0.0,1.0,0.0,36.0
21,5,F9,"Chicago, IL",IL,"Orlando, FL",FL,1317,14.0,1704,22.0,167.0,175.0,135.0,1005.0,9.0,0.0,8.0,0.0,5.0
24,1,HA,"Honolulu, HI",HI,"San Francisco, CA",CA,1255,44.0,2105,36.0,310.0,302.0,265.0,2398.0,5.0,0.0,0.0,0.0,31.0
2,7,YX,"Manchester, NH",NH,"Newark, NJ",NJ,1455,49.0,1639,28.0,104.0,83.0,57.0,209.0,0.0,0.0,0.0,0.0,28.0
30,7,G4,"Sanford, FL",FL,"Knoxville, TN",TN,1538,19.0,1715,17.0,97.0,95.0,70.0,511.0,5.0,0.0,0.0,0.0,12.0
25,2,PT,"Philadelphia, PA",PA,"State College, PA",PA,2050,61.0,2156,64.0,66.0,69.0,35.0,153.0,61.0,0.0,3.0,0.0,0.0
8,6,AA,"Dallas/Fort Worth, TX",TX,"Charlotte, NC",NC,1656,158.0,2030,151.0,154.0,147.0,111.0,936.0,151.0,0.0,0.0,0.0,0.0
28,5,HA,"Kona, HI",HI,"Kahului, HI",HI,1253,24.0,1330,33.0,37.0,46.0,17.0,84.0,12.0,0.0,9.0,0.0,12.0
30,7,9E,"New York, NY",NY,"Raleigh/Durham, NC",NC,1850,203.0,2047,197.0,117.0,111.0,77.0,431.0,0.0,0.0,0.0,0.0,197.0
2,7,NK,"Boston, MA",MA,"Orlando, FL",FL,1445,29.0,1810,21.0,205.0,197.0,166.0,1121.0,21.0,0.0,0.0,0.0,0.0
28,5,OO,"Bend/Redmond, OR",OR,"Phoenix, AZ",AZ,524,229.0,805,204.0,161.0,136.0,117.0,893.0,204.0,0.0,0.0,0.0,0.0
6,4,AA,"Dallas/Fort Worth, TX",TX,"Pensacola, FL",FL,1653,12.0,1840,21.0,107.0,116.0,82.0,604.0,12.0,0.0,9.0,0.0,0.0
18,2,WN,"Denver, CO",CO,"Long Beach, CA",CA,805,40.0,935,45.0,150.0,155.0,140.0,854.0,40.0,0.0,5.0,0.0,0.0
15,6,UA,"Houston, TX",TX,"Atlanta, GA",GA,1420,17.0,1722,29.0,122.0,134.0,102.0,689.0,17.0,0.0,12.0,0.0,0.0
10,1,AA,"Washington, DC",VA,"Sarasota/Bradenton, FL",FL,1135,12.0,1414,40.0,159.0,187.0,122.0,851.0,5.0,0.0,28.0,0.0,7.0
26,3,WN,"Long Beach, CA",CA,"Austin, TX",TX,1505,-4.0,1945,28.0,160.0,192.0,149.0,1226.0,0.0,0.0,28.0,0.0,0.0
16,7,AA,"Miami, FL",FL,"Memphis, TN",TN,2110,558.0,2256,571.0,166.0,179.0,148.0,859.0,281.0,0.0,13.0,0.0,277.0
10,1,G4,"Sanford, FL",FL,"Norfolk, VA",VA,1228,35.0,1416,26.0,108.0,99.0,85.0,631.0,26.0,0.0,0.0,0.0,0.0
5,3,OO,"Rapid City, SD",SD,"Denver, CO",CO,1115,191.0,1244,182.0,89.0,80.0,59.0,300.0,182.0,0.0,0.0,0.0,0.0
16,7,NK,"Fort Lauderdale, FL",FL,"Baltimore, MD",MD,2025,127.0,2258,139.0,153.0,165.0,123.0,925.0,0.0,0.0,129.0,0.0,10.0
25,2,WN,"Las Vegas, NV",NV,"Houston, TX",TX,1530,143.0,2030,124.0,180.0,161.0,142.0,1235.0,3.0,0.0,0.0,0.0,121.0
30,7,WN,"Houston, TX",TX,"Harlingen/San Benito, TX",TX,1815,33.0,1920,19.0,65.0,51.0,43.0,277.0,8.0,0.0,0.0,0.0,11.0
19,3,AS,"Chicago, IL",IL,"San Francisco, CA",CA,1830,-2.0,2115,41.0,285.0,328.0,279.0,1846.0,0.0,0.0,41.0,0.0,0.0
17,1,AA,"Chicago, IL",IL,"Tucson, AZ",AZ,805,-6.0,949,28.0,224.0,258.0,195.0,1437.0,0.0,0.0,28.0,0.0,0.0
29,6,AA,"Charlotte, NC",NC,"Fort Lauderdale, FL",FL,1626,0.0,1822,23.0,116.0,139.0,123.0,632.0,0.0,0.0,23.0,0.0,0.0
4,2,HA,"Honolulu, HI",HI,"Lihue, HI",HI,1600,34.0,1641,35.0,41.0,42.0,22.0,102.0,2.0,0.0,0.0,0.0,33.0
1,6,OH,"Charlotte, NC",NC,"Baton Rouge, LA",LA,1100,-6.0,1220,15.0,140.0,161.0,117.0,675.0,0.0,0.0,15.0,0.0,0.0
18,2,WN,"Houston, TX",TX,"Long Beach, CA",CA,1615,46.0,1750,48.0,215.0,217.0,201.0,1374.0,8.0,0.0,2.0,0.0,38.0
19,3,WN,"New Orleans, LA",LA,"Dallas, TX",TX,1940,24.0,2110,18.0,90.0,84.0,69.0,436.0,2.0,0.0,0.0,0.0,16.0
25,2,UA,"Washington, DC",VA,"Jacksonville, FL",FL,1722,256.0,1930,282.0,128.0,154.0,100.0,630.0,9.0,0.0,26.0,0.0,247.0
26,3,WN,"Colorado Springs, CO",CO,"Las Vegas, NV",NV,1305,54.0,1405,47.0,120.0,113.0,85.0,604.0,0.0,0.0,23.0,0.0,24.0
14,5,B6,"Washington, DC",VA,"San Juan, PR",PR,800,30.0,1154,49.0,234.0,253.0,196.0,1554.0,30.0,0.0,19.0,0.0,0.0
24,1,C5,"Washington, DC",VA,"Providence, RI",RI,1705,21.0,1845,18.0,100.0,97.0,59.0,371.0,18.0,0.0,0.0,0.0,0.0
9,7,B6,"White Plains, NY",NY,"Fort Lauderdale, FL",FL,1440,27.0,1748,26.0,188.0,187.0,171.0,1097.0,26.0,0.0,0.0,0.0,0.0
1,6,DL,"Detroit, MI",MI,"Denver, CO",CO,1229,62.0,1345,52.0,196.0,186.0,161.0,1123.0,52.0,0.0,0.0,0.0,0.0
21,5,C5,"Denver, CO",CO,"Colorado Springs, CO",CO,1410,34.0,1500,34.0,50.0,50.0,20.0,73.0,3.0,0.0,0.0,0.0,31.0
25,2,WN,"Baltimore, MD",MD,"Fort Lauderdale, FL",FL,1930,22.0,2205,31.0,155.0,164.0,151.0,925.0,0.0,0.0,9.0,0.0,22.0
22,6,AA,"Dallas/Fort Worth, TX",TX,"Minneapolis, MN",MN,1654,44.0,1915,37.0,141.0,134.0,112.0,852.0,32.0,0.0,0.0,0.0,5.0
