date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-09-11,HARTFORD BRAINARD FLD,20.35,-72.6506,41.7361,34.4,21.7,Strong Hot
2013-07-16,BOISE LUCKY PEAK DAM,6.92,-116.0542,43.5253,37.8,21.1,Weak Hot
2013-10-04,WINTHROP UNIV,7.42,-81.0317,34.9381,30.0,13.9,Weak Hot
2013-11-28,WHITING FLD NAS,-12.15,-87.0167,30.7167,11.1,-3.2,Weak Cold
2013-06-30,TIMPANOGOS CAVE,10.43,-111.7075,40.4447,35.6,20.0,Weak Hot
2013-07-01,SEWARD AP,-4.9,-149.4167,60.1283,11.7,8.9,Weak Cold
2013-05-14,LOGAN UTAH ST UNIV,11.26,-111.8033,41.7456,30.6,13.3,Weak Hot
2013-05-02,SUGARLOAF RSVR,-21.11,-106.3714,39.2494,5.0,-23.9,Weak Cold
2013-03-03,THOMASVILLE,-14.71,-87.7347,31.9172,6.1,-3.3,Weak Cold
2013-07-03,SHREVEPORT,-5.99,-93.8411,32.4506,32.2,16.7,Weak Cold
2013-11-28,ORLANDO INTL AP,-10.47,-81.325,28.4339,19.4,3.9,Weak Cold
2013-05-04,AUSTIN WWT FAC,-20.01,-92.9739,43.6542,0.6,-1.1,Weak Cold
2013-12-10,GRANTS PASS,-23.06,-123.3236,42.4244,-1.1,-13.3,Strong Cold
2013-05-13,CALLAHAN,8.23,-122.8045,41.3111,28.3,11.7,Weak Hot
2013-05-30,HUNTSVILLE INTL AP,6.52,-86.7861,34.6439,30.6,21.1,Weak Hot
2013-11-23,PALMDALE,-11.71,-118.0939,34.5883,7.8,3.3,Weak Cold
2013-11-28,WESTERVILLE,-13.3,-82.9433,40.1264,-1.7,-5.6,Weak Cold
2013-09-25,LOVELOCK DERBY FLD,-14.23,-118.5692,40.0681,14.4,3.3,Weak Cold
2013-10-03,GRAPEVINE DAM,10.84,-97.0553,32.9506,32.2,22.8,Weak Hot
2013-04-11,CANBY,-14.47,-96.2697,44.7183,-0.6,-3.3,Weak Cold
2013-07-23,ABIQUIU DAM,-18.21,-106.4278,36.2403,20.0,7.2,Strong Cold
2013-01-11,ROCKFORD GTR ROCKFORD AP,15.7,-89.0931,42.1928,10.0,4.4,Weak Hot
2013-05-12,HOOD RIVER EXP STN,7.61,-121.5175,45.6847,30.6,14.4,Weak Hot
2013-01-23,RUXTON PARK,10.83,-104.9742,38.8417,12.2,-7.2,Weak Hot
2013-12-07,PARK RAPIDS MUNI AP,-34.54,-95.0678,46.9006,-22.7,-33.8,Strong Cold
2013-10-26,CULLOWHEE,-10.16,-83.1747,35.3117,11.1,-3.9,Weak Cold
2013-12-06,AMISTAD 5 SSW,-21.21,-103.1819,35.8742,-11.1,-17.8,Weak Cold
2013-01-14,MINCHUMINA,17.04,-152.2817,63.9033,-3.9,-8.9,Weak Hot
2013-01-29,LAFAYETTE RGNL AP,13.64,-91.9875,30.205,24.4,19.4,Weak Hot
2013-05-30,INTL FALLS INTL AP,11.46,-93.3981,48.5614,20.6,15.6,Weak Hot
2013-09-03,AZTEC RUINS NM,9.55,-108.0006,36.835,32.8,18.3,Weak Hot
2013-12-31,MANISTIQUE WWTP,-11.32,-86.2514,45.9511,-12.2,-21.7,Weak Cold
2013-07-14,BEAVER CITY,7.88,-99.8278,40.1306,42.2,22.8,Weak Hot
2013-06-13,KOTZEBUE RALPH WEIN AP,12.76,-162.6333,66.8667,23.3,3.9,Weak Hot
2013-02-02,NEW CUMBERLAND L/D,-12.15,-80.6275,40.5261,-7.8,-12.8,Weak Cold
2013-03-04,MADRAS 2 N,-8.0,-121.1461,44.6633,8.3,-8.9,Weak Cold
2013-08-15,WINTHROP 1 WSW,8.02,-120.1886,48.4742,31.7,17.2,Weak Hot
2013-07-27,OSAGE,-8.01,-92.8106,43.2794,21.1,8.9,Weak Cold
2013-03-27,IDABEL,-13.41,-94.8278,33.9336,12.2,-8.3,Weak Cold
2013-05-03,NIXON,-20.35,-97.7675,29.2283,20.6,7.8,Strong Cold
2013-03-15,RUSSELL MUNI AP,16.24,-98.8092,38.8761,29.4,4.4,Weak Hot
2013-05-14,DALE ENTERPRISE,-10.47,-78.9353,38.4547,13.9,-1.1,Weak Cold
2013-03-07,WALSENBURG 1 NW,10.38,-104.7956,37.6303,18.3,7.8,Weak Hot
2013-11-25,LEWISBURG 3 N,-28.6,-80.4042,37.8564,-5.6,-11.7,Strong Cold
2013-04-01,CASTANA EXP FARM,-11.02,-95.8364,42.0633,10.0,-7.8,Weak Cold
2013-12-17,LOS ANGELES DWTN USC CAMPUS,5.08,-118.2353,34.0511,27.8,14.4,Weak Hot
2013-05-03,ALMA DAM 4,-18.92,-91.9194,44.3272,2.2,0.0,Weak Cold
2013-05-20,HOOPESTON,10.86,-87.685,40.4664,30.0,21.7,Weak Hot
2013-04-10,EVANSVILLE REGIONAL AP,12.56,-87.5206,38.0442,28.9,20.0,Weak Hot
2013-09-15,CRESTVIEW BOB SIKES AP,4.35,-86.5225,30.7797,35.6,18.3,Weak Hot
2013-07-12,VALENTINE MILLER FLD,6.97,-100.55,42.8783,36.7,22.8,Weak Hot
2013-04-15,WENATCHEE PANGBORN AP,-8.47,-120.2014,47.3978,8.3,0.0,Weak Cold
2013-09-01,FIVE POINTS 5 SSW,6.19,-120.1561,36.3642,36.7,21.1,Weak Hot
2013-04-16,JACKSON MCKELLAR AP,10.41,-88.9167,35.5931,28.9,20.0,Weak Hot
2013-12-11,LA VERKIN,-11.21,-113.2686,37.2008,0.0,-13.9,Weak Cold
2013-08-08,PRADE RCH,4.41,-99.7908,29.9167,37.8,22.2,Weak Hot
2013-01-29,MORRIS 1 NW,31.62,-88.4336,41.3708,15.6,6.1,Strong Hot
2013-05-03,CALHOUN RSCH STN,-9.03,-92.3486,32.5133,19.4,7.8,Weak Cold
2013-01-14,PERU 2 WSW,30.72,-73.57,44.5658,13.3,1.7,Strong Hot
2013-11-25,HICKORY FAA AP,-23.55,-81.3819,35.7425,2.8,-6.6,Strong Cold
2013-04-20,WOODLAND,7.71,-67.4044,45.1569,22.2,6.7,Weak Hot
2013-09-03,MEXICAN HAT,10.95,-109.8675,37.1497,35.6,23.3,Weak Hot
2013-05-06,PENSACOLA RGNL AP,-8.86,-87.1869,30.4781,22.8,10.0,Weak Cold
2013-12-21,BROWNSVILLE,18.29,-97.4186,25.9156,29.4,22.8,Strong Hot
2013-10-04,LA HARPE,13.32,-90.9686,40.5839,26.1,18.3,Weak Hot
2013-11-25,WAUSEON WTP,-12.36,-84.1453,41.5183,-2.8,-7.8,Weak Cold
2013-07-31,EFFINGHAM 3SW,-9.92,-88.6244,39.1181,21.1,18.3,Weak Cold
2013-01-20,MOORE HAVEN LOCK 1,9.72,-81.0872,26.84,25.6,20.6,Weak Hot
2013-05-17,ABILENE RGNL AP,10.92,-99.6822,32.4106,40.0,22.2,Weak Hot
2013-06-27,MONTEAGLE,4.53,-85.8417,35.2244,28.9,21.1,Weak Hot
2013-09-06,SYRACUSE 1NE,9.25,-101.7417,37.9928,37.8,18.9,Weak Hot
2013-08-16,PLANT CITY,2.56,-82.1422,28.0236,33.9,25.0,Weak Hot
2013-06-30,RED BLUFF MUNI AP,10.4,-122.2536,40.1519,42.8,22.8,Weak Hot
2013-06-06,CHISOS BASIN,5.57,-103.3003,29.2703,35.6,20.0,Weak Hot
2013-12-28,EAGLE,-22.56,-141.2036,64.7856,-23.9,-48.3,Weak Cold
2013-12-16,RED BLUFF MUNI AP,9.36,-122.2536,40.1519,22.2,-2.1,Weak Hot
2013-12-18,BRASSUA DAM,-18.48,-69.812,45.6603,-13.9,-31.1,Weak Cold
2013-04-04,MILLVILLE MUNI AP,-11.55,-75.0667,39.3667,8.9,-6.6,Weak Cold
2013-03-16,TATUM,10.63,-103.3611,33.2422,30.0,2.2,Weak Hot
2013-10-29,CLOQUET,-20.27,-92.5253,46.7047,1.1,-7.8,Strong Cold
2013-10-23,TOLEDO 3N,-14.86,-92.5806,42.0356,2.2,-2.2,Weak Cold
2013-09-02,RITZVILLE 1 SSE,8.82,-118.3722,47.1178,32.8,16.1,Weak Hot
2013-07-28,SIOUX CITY GATEWAY AP,-11.23,-96.3792,42.3914,25.0,6.7,Weak Cold
2013-10-05,WELLSBORO 4 SW,10.44,-77.3894,41.7003,24.4,13.9,Weak Hot
2013-02-04,PORTHILL,8.65,-116.4992,48.9994,3.3,2.8,Weak Hot
2013-09-01,MORA,10.01,-93.3147,45.8775,31.1,16.7,Weak Hot
2013-11-23,COTTAGE GROVE 2E,-8.15,-123.0275,43.7917,8.3,-5.0,Weak Cold
2013-12-10,OKLAHOMA CITY WILL ROGERS AP,-13.45,-97.6006,35.3889,3.9,-14.9,Weak Cold
2013-05-02,BAKER CITY MUNI AP,-9.68,-117.8086,44.8428,20.6,-6.6,Weak Cold
2013-11-29,ANCHORAGE MERRILL FLD,-13.55,-149.855,61.2169,-15.5,-22.1,Weak Cold
2013-05-03,MONDOVI,-19.12,-91.6719,44.5647,2.8,-0.6,Weak Cold
2013-07-16,BROWNWOOD 2ENE,-13.04,-98.9456,31.7383,22.8,18.3,Weak Cold
2013-08-27,SANDUSKY,5.27,-82.7167,41.45,28.3,22.8,Weak Hot
2013-09-06,SISSETON,10.66,-97.0392,45.6656,32.8,20.0,Weak Hot
2013-04-19,PAONIA 1 SW,-23.74,-107.6236,38.8522,3.9,-9.4,Strong Cold
2013-06-13,HENDERSON 8 SSW,7.87,-87.6456,37.7558,33.9,25.6,Weak Hot
2013-12-24,TURTLE LAKE,-18.28,-100.8883,47.5214,-13.3,-33.3,Weak Cold
2013-09-07,QUINTER,11.03,-100.2389,39.0669,37.8,18.9,Weak Hot
2013-04-05,ALLARDT,-13.49,-84.8744,36.3806,6.1,2.2,Weak Cold
2013-04-05,FRANKLIN SEWAGE PLT,-13.65,-86.8686,35.9417,8.3,5.0,Weak Cold
2013-11-13,OLNEY 2S,-10.86,-88.0817,38.7003,2.8,-8.9,Weak Cold
2013-12-09,FT MYERS PAGE FLD AP,5.23,-81.8614,26.585,30.0,19.4,Weak Hot
2013-04-21,HIGH SPRINGS,-12.18,-82.5972,29.8286,16.1,7.8,Weak Cold
2013-01-20,COTTONWOOD WEIR,-22.29,-111.7869,40.6242,-7.2,-16.7,Strong Cold
2013-09-03,LEMON COVE,6.3,-119.0264,36.3817,36.1,20.6,Weak Hot
2013-05-02,KANSAS CITY DOWNTOWN AP,-30.72,-94.5969,39.1208,6.7,1.1,Strong Cold
2013-05-05,MIDVILLE EXP STN,-10.93,-82.2156,32.8753,17.8,14.4,Weak Cold
2013-05-01,CEDARVILLE,-7.28,-120.1803,41.5306,17.2,-2.8,Weak Cold
2013-12-07,UNION 8 S,29.55,-81.6628,34.6053,25.0,16.1,Strong Hot
2013-04-04,DALE ENTERPRISE,-10.31,-78.9353,38.4547,10.6,-6.1,Weak Cold
2013-08-22,APALACHICOLA AIRPORT,-5.18,-85.0206,29.7258,26.7,23.3,Weak Cold
2013-05-05,LAKE PARK,-15.48,-95.3247,43.4483,5.6,0.6,Weak Cold
2013-03-16,MESA VERDE NP,7.63,-108.4883,37.1986,19.4,5.0,Weak Hot
2013-11-28,GRENADA,-27.45,-89.8136,33.7608,2.8,-7.2,Strong Cold
2013-06-25,VERO BEACH INTL AP,3.3,-80.2428,27.6531,31.7,25.6,Weak Hot
2013-09-13,MORO,19.81,-120.7236,45.4825,34.4,16.7,Strong Hot
2013-04-04,MADILL,-16.66,-96.7708,34.0919,7.2,3.9,Weak Cold
2013-07-17,EDGARTOWN,6.09,-70.5181,41.3853,32.2,19.4,Weak Hot
2013-11-24,GUTHRIE CTR,-33.54,-94.4972,41.6686,-9.4,-18.9,Strong Cold
2013-04-19,ALLEGANY SP,13.44,-78.7497,42.1003,23.9,12.8,Weak Hot
2013-05-14,HIGHMORE 1 W,10.08,-99.455,44.5222,32.2,16.7,Weak Hot
2013-04-10,MTN PARK,-11.05,-105.8225,32.9539,7.8,-0.6,Weak Cold
2013-07-11,CORSICANA,3.24,-96.4867,32.1225,39.4,26.1,Weak Hot
2013-05-04,ABILENE RGNL AP,-10.61,-99.6822,32.4106,25.6,5.6,Weak Cold
2013-05-15,CHATHAM,-9.95,-79.4103,36.8225,20.0,-0.6,Weak Cold
2013-09-26,PALISADES,-14.46,-111.2167,43.35,8.3,2.8,Weak Cold
2013-12-23,SAPELO ISLAND,10.99,-81.2811,31.3972,25.0,17.8,Weak Hot
2013-07-12,RESERVE RS,5.91,-108.7769,33.7158,29.4,17.2,Weak Hot
2013-07-01,MADISONVILLE,-6.38,-95.9203,30.9392,35.6,16.1,Weak Cold
2013-07-21,FT DUCHESNE,4.69,-109.8611,40.2842,37.8,13.9,Weak Hot
2013-09-09,GOODLAND,9.4,-101.7,39.3669,36.1,19.4,Weak Hot
2013-07-17,MISSOULA 6 NW WFO,7.93,-114.0911,46.9244,35.0,20.0,Weak Hot
2013-09-03,YELLOWTAIL DAM,12.27,-107.9383,45.3128,34.4,21.1,Weak Hot
2013-10-11,DETROIT LAKES 1 NNE,13.67,-95.8372,46.8372,18.9,15.0,Weak Hot
2013-09-07,BOULDER,6.98,-111.42,37.905,27.2,16.7,Weak Hot
2013-11-23,GATESVILLE,-16.88,-97.7019,31.4144,3.9,0.6,Weak Cold
2013-12-02,CHUGWATER,13.97,-104.8222,41.7594,9.4,5.6,Weak Hot
2013-12-06,ROME R B RUSSELL AP,12.41,-85.1611,34.3478,25.0,6.7,Weak Hot
2013-06-05,FERGUS FALLS,-9.61,-96.1172,46.2919,15.0,12.2,Weak Cold
2013-05-20,PAVILLION,9.05,-108.6942,43.2458,15.6,12.8,Weak Hot
2013-02-23,CRESCENT CITY,7.87,-81.5161,29.425,29.4,17.2,Weak Hot
2013-05-26,KIT CARSON,8.34,-102.8031,38.7658,35.0,14.4,Weak Hot
2013-01-02,QUARTZSITE,-7.85,-114.2272,33.665,13.9,-3.9,Weak Cold
2013-10-03,WILMINGTON 3 N,11.84,-83.85,39.4833,27.2,17.2,Weak Hot
2013-07-28,WHITESTOWN,-16.13,-86.3542,39.9961,22.2,8.9,Strong Cold
2013-08-15,HARRISON BOONE CO AP,-8.02,-93.1567,36.2667,23.9,11.1,Weak Cold
2013-05-31,CIRCLE HOT SPRINGS,13.29,-144.6422,65.4939,26.1,5.0,Weak Hot
2013-09-01,POMONA/FAIRPLEX,7.31,-117.7658,34.0817,34.4,22.2,Weak Hot
2013-07-03,NEW MEADOWS RS,9.44,-116.2933,44.9714,36.1,15.6,Weak Hot
2013-07-16,CEDARVILLE,7.47,-120.1803,41.5306,35.0,20.0,Weak Hot
2013-06-07,OSHKOSH,-11.29,-88.5581,44.0206,13.9,10.6,Weak Cold
2013-07-29,WEST PLAINS,-9.13,-91.8347,36.7425,22.8,14.4,Weak Cold
2013-09-09,COTTONWOOD 2 E,11.34,-101.8606,43.9611,30.6,18.3,Weak Hot
2013-04-12,COWEETA EXP STN,9.04,-83.4314,35.0592,25.0,14.4,Weak Hot
2013-05-15,THERMOPOLIS,10.14,-108.2036,43.6483,32.2,7.8,Weak Hot
2013-09-09,HANFORD 1 S,6.03,-119.6369,36.3158,37.2,20.0,Weak Hot
2013-01-18,MILESVILLE 5 NE,13.77,-101.6192,44.5208,11.1,0.6,Weak Hot
2013-01-15,TRONA,-9.37,-117.3908,35.7636,5.0,-6.1,Weak Cold
2013-04-08,UNIVERSITY EXP STN,-36.33,-147.8611,64.8569,-12.8,-23.9,Strong Cold
2013-07-15,MUTUAL,-10.19,-99.17,36.2283,25.0,15.6,Weak Cold
2013-11-23,CARLSBAD CAVERN CITY AP,-18.01,-104.2581,32.3336,1.1,-2.7,Weak Cold
2013-08-19,CHATHAM,-9.16,-79.4103,36.8225,20.6,17.2,Weak Cold
2013-07-05,WADENA 3 S,6.54,-95.1494,46.3939,29.4,20.6,Weak Hot
2013-08-06,FREEPORT 2 NW,2.92,-95.3808,28.9844,34.4,27.8,Weak Hot
2013-10-04,GRAND COTEAU,8.95,-92.0442,30.4183,30.6,22.8,Weak Hot
2013-08-26,GOTHENBURG,14.04,-100.1514,40.9394,37.8,22.2,Strong Hot
2013-04-18,APALACHICOLA AIRPORT,7.01,-85.0206,29.7258,25.6,21.7,Weak Hot
2013-11-23,CONCEPTION,-14.3,-94.6833,40.2394,-3.9,-7.8,Weak Cold
2013-12-12,PRINCETON 1 W,-14.93,-87.5906,38.3567,-6.1,-17.8,Weak Cold
2013-04-04,WILLIAMSPORT,-9.17,-76.9217,41.2433,10.6,-5.5,Weak Cold
2013-01-29,MOLINE QUAD CITY INTL AP,31.23,-90.5233,41.4653,16.7,2.8,Strong Hot
2013-04-19,LOUISA,12.81,-78.0061,38.0422,25.6,18.3,Weak Hot
2013-05-12,NEZPERCE,7.31,-116.243,46.2325,26.7,11.1,Weak Hot
2013-06-27,ELKHART,6.95,-101.8867,37.0058,38.3,22.2,Weak Hot
2013-06-25,DULUTH,8.85,-92.2097,46.8369,30.6,18.3,Weak Hot
2013-11-23,MINOT EXP STN,-19.17,-101.2964,48.1803,-11.1,-27.2,Weak Cold
2013-05-03,PONCE 4 E,-1.85,-66.5253,18.0258,33.3,18.3,Weak Cold
2013-06-25,SALISBURY WICOMICO RGNL AP,6.92,-75.5103,38.3406,33.9,23.3,Weak Hot
2013-09-27,GILLETTE 4SE,-20.32,-105.4919,44.2644,2.8,0.0,Weak Cold
2013-04-27,SANDBERG,14.26,-118.7242,34.7436,28.9,15.0,Weak Hot
2013-05-19,LIBERAL,11.31,-100.9294,37.0222,37.8,15.6,Weak Hot
2013-12-31,HARTFORD 2 W,-34.13,-88.4114,43.3311,-18.9,-25.6,Strong Cold
2013-12-09,BAGDAD,-7.3,-113.1739,34.5972,4.4,-6.7,Weak Cold
2013-03-15,BONNY DAM 2NE,10.01,-102.1192,39.6567,24.4,6.1,Weak Hot
2013-05-14,ROCK SPRINGS AP,9.43,-109.0528,41.5944,27.2,8.3,Weak Hot
2013-11-28,HIGHLANDS,-11.36,-83.1983,35.0567,2.8,-10.6,Weak Cold
2013-01-31,PORTLAND INTL JETPORT,12.74,-70.3003,43.6497,12.2,-1.7,Weak Hot
2013-01-14,EDENTON,11.57,-76.5517,36.0164,22.8,10.6,Weak Hot
2013-04-05,HIGHLANDS,-15.0,-83.1983,35.0567,2.2,-2.2,Weak Cold
2013-06-29,FAIRFIELD,9.48,-112.0944,40.2703,36.7,13.3,Weak Hot
2013-01-13,DAYTON 2SE,18.07,-84.9947,35.4717,19.4,16.1,Weak Hot
2013-12-23,BAYARD,14.96,-79.3683,39.2728,16.1,8.9,Weak Hot
2013-10-04,NEW YORK JFK INTL AP,8.66,-73.7622,40.6386,26.7,16.7,Weak Hot
2013-01-15,POCATELLO 2 NE,-11.05,-112.4086,42.8917,-8.9,-15.6,Weak Cold
2013-12-01,ROOSEVELT 1 WNW,5.34,-111.1508,33.6731,17.2,8.9,Weak Hot
2013-06-03,LIBERAL,-8.44,-100.9294,37.0222,28.3,7.8,Weak Cold
2013-08-29,ASHEVILLE RGNL AP,4.71,-82.5375,35.4319,30.0,21.7,Weak Hot
2013-01-14,GATLINBURG 2 SW,13.38,-83.5369,35.6878,22.2,8.3,Weak Hot
2013-01-30,BARABOO,14.14,-89.7269,43.4583,11.1,-1.1,Weak Hot
2013-12-06,DOUGLAS,24.67,-82.8206,31.4889,28.3,17.2,Strong Hot
2013-07-29,BOWLING GREEN WARREN CO AP,-7.11,-86.4239,36.9647,27.8,12.8,Weak Cold
2013-01-02,OAK CITY,-29.46,-112.3342,39.3758,-11.1,-21.7,Strong Cold
2013-04-19,BROKEN BOW 2 W,-17.37,-99.675,41.4083,-1.1,-7.2,Weak Cold
2013-09-01,BANKHEAD LOCK & DAM,6.07,-87.3572,33.4528,34.4,22.8,Weak Hot
2013-10-25,EVANSVILLE REGIONAL AP,-9.52,-87.5206,38.0442,11.1,-2.1,Weak Cold
2013-03-15,NEW HARMONY,9.87,-113.2897,37.4636,22.8,4.4,Weak Hot
2013-07-03,CONRAD,9.53,-111.9614,48.1794,33.9,19.4,Weak Hot
2013-09-30,VANCOUVER 4 NNE,-10.11,-122.6511,45.6778,13.3,8.9,Weak Cold
2013-07-25,MARION 2 N,-7.83,-83.1333,40.6167,21.1,10.0,Weak Cold
2013-09-12,BATAVIA,8.63,-78.1692,43.0303,31.1,20.0,Weak Hot
2013-09-05,IRON MTN,6.67,-115.1219,34.1472,43.3,29.4,Weak Hot
2013-04-04,BURNET,-16.2,-98.2339,30.7586,9.4,5.6,Weak Cold
2013-09-24,LIVE OAK,3.8,-82.965,30.2889,27.2,23.9,Weak Hot
2013-09-07,ATWOOD,13.75,-101.0422,39.7997,41.1,16.7,Weak Hot
2013-09-29,BEND,-13.93,-121.285,44.0569,9.4,-0.6,Weak Cold
2013-08-25,BOULDER,-10.99,-111.42,37.905,16.7,11.1,Weak Cold
2013-07-02,KING SALMON,-6.81,-156.6294,58.6794,10.6,7.2,Weak Cold
2013-03-13,JONESBORO,11.22,-67.6494,44.6453,10.0,5.0,Weak Hot
2013-07-18,CRESCO 1 NE,7.79,-92.0939,43.3894,33.9,23.3,Weak Hot
2013-12-25,PASO ROBLES MUNI AP,7.34,-120.6283,35.6697,22.8,-1.6,Weak Hot
2013-07-18,LAUREL 3 W,6.17,-76.9003,39.0847,37.2,26.1,Weak Hot
2013-07-05,HEBGEN DAM,5.51,-111.3392,44.8667,28.9,12.2,Weak Hot
2013-04-19,CELO 2 S,11.7,-82.1769,35.8297,21.7,15.6,Weak Hot
2013-11-29,MARIETTA 5SW,-11.28,-97.1642,33.8761,12.8,-6.1,Weak Cold
2013-04-04,PALACIOS MUNI AP,-7.32,-96.2536,28.7247,18.3,9.4,Weak Cold
2013-01-29,NASHVILLE INTL AP,12.83,-86.6892,36.1189,21.1,12.2,Weak Hot
2013-06-25,PLAINVIEW,4.81,-101.7022,34.1892,35.0,22.2,Weak Hot
2013-07-17,POTEET,-10.69,-98.5686,29.0283,24.4,22.8,Weak Cold
2013-04-18,ARKADELPHIA 2 N,7.25,-93.0589,34.1433,31.7,19.4,Weak Hot
2013-05-02,FT DODGE 5NNW,-14.87,-94.2006,42.5836,7.2,-0.6,Weak Cold
2013-08-20,HANCOCK HOUGHTON CO AP,7.32,-88.4889,47.1686,30.6,20.0,Weak Hot
2013-04-10,BROOKINGS 2 NE,-14.59,-96.7686,44.3253,-2.2,-8.3,Weak Cold
2013-05-03,PALESTINE 2 NE,-11.81,-95.6039,31.7831,28.9,5.0,Weak Cold
2013-06-28,OAK CITY,10.15,-112.3342,39.3758,40.0,20.6,Weak Hot
2013-06-06,STEVENS POINT,-10.75,-89.5856,44.5114,13.9,10.0,Weak Cold
2013-12-21,COLUMBIA,12.22,-81.1186,33.9486,27.2,7.8,Weak Hot
2013-12-06,RAPELJE,-25.12,-109.2531,45.9636,-22.2,-28.3,Weak Cold
2013-03-01,SEATTLE TACOMA INTL AP,7.22,-122.3139,47.4444,15.0,11.1,Weak Hot
2013-04-27,BISHOP AP,9.93,-118.3581,37.3711,31.7,5.0,Weak Hot
2013-08-25,GRAND FORKS UNIV NWS,8.75,-97.0981,47.9217,35.6,20.6,Weak Hot
2013-01-29,MANITOWOC,10.58,-87.6522,44.0869,7.8,-1.1,Weak Hot
2013-02-27,MIAMI BEACH,11.62,-80.1336,25.8064,28.3,24.4,Strong Hot
2013-04-19,DUMAS,-9.47,-101.9725,35.8731,6.1,-5.0,Weak Cold
2013-12-15,FALLS VILLAGE,-10.38,-73.3667,41.95,-6.7,-10.6,Weak Cold
2013-11-24,MAYVILLE,-31.93,-97.3514,47.4989,-12.2,-23.9,Strong Cold
2013-11-24,NORRISTOWN,-9.0,-75.3583,40.1197,7.8,-6.7,Weak Cold
2013-03-04,METTER,-11.01,-82.0819,32.3972,16.1,-2.8,Weak Cold
2013-05-05,HARLAN 1ESE,-17.19,-95.2875,41.6403,5.6,0.6,Weak Cold
2013-03-22,JUNCOS 1 SE,4.33,-65.9114,18.2264,31.1,22.2,Weak Hot
2013-10-05,XENIA 6 SSE,12.83,-83.9,39.6167,27.2,18.9,Weak Hot
2013-01-31,PUTNEYVILLE 2 SE DAM,14.66,-79.2803,40.9247,15.6,-2.2,Weak Hot
2013-06-10,PALACIOS MUNI AP,2.97,-96.2536,28.7247,34.4,23.9,Weak Hot
2013-09-01,FOLLETT,18.79,-100.1369,36.4328,39.4,21.1,Strong Hot
2013-10-07,STARTUP 1 E,10.62,-121.7175,47.8664,27.2,8.9,Weak Hot
2013-05-29,BLUEFIELD MERCER CO AP,8.51,-81.2078,37.2958,30.0,16.7,Weak Hot
2013-04-02,WILLOW CITY,-33.81,-100.2911,48.6061,-4.4,-20.6,Strong Cold
2013-02-02,BLUESTONE LAKE,-12.14,-80.8831,37.6411,-5.0,-10.6,Weak Cold
2013-08-31,CARROLLTON,5.82,-93.4886,39.3594,36.7,23.9,Weak Hot
2013-11-23,TORONTO LAKE,-15.4,-95.9333,37.7417,-1.1,-3.3,Weak Cold
2013-05-10,LACROSSE,11.68,-117.8831,46.8167,33.3,7.2,Weak Hot
2013-09-30,BATTLE GROUND,-10.1,-122.5286,45.7717,13.3,9.4,Weak Cold
2013-03-28,CARIBOU MUNI AP,10.87,-68.0172,46.8706,8.9,1.7,Weak Hot
2013-09-11,MOSES LAKE GRANT CO AP,10.91,-119.3192,47.2078,36.7,13.3,Weak Hot
2013-01-18,ROUNDUP,15.87,-108.5397,46.4414,12.2,5.6,Weak Hot
2013-05-05,CLARKSVILLE WWTP,-11.01,-87.3353,36.5472,15.0,6.7,Weak Cold
2013-12-08,HART MTN REFUGE,-41.64,-119.6556,42.5483,-16.1,-28.9,Strong Cold
2013-09-11,FARMLAND 5 NNW,22.17,-85.1483,40.2539,36.1,21.7,Strong Hot
2013-01-11,BOWLING GREEN WWTP,15.0,-83.6111,41.3831,15.0,2.8,Weak Hot
2013-12-16,MIAMI BEACH,4.05,-80.1336,25.8064,28.3,20.6,Weak Hot
2013-04-02,RIDDLE,6.91,-123.3572,42.9506,22.2,11.1,Weak Hot
2013-04-18,DOUGLAS 1 SE,-19.09,-105.3603,42.7467,-5.0,-9.4,Weak Cold
2013-06-29,LIFTON PUMPING STN,9.81,-111.3133,42.1231,32.2,11.1,Weak Hot
2013-10-05,PHILO 3 SW,21.43,-81.9167,39.8386,27.8,17.2,Strong Hot
2013-04-16,LOS ALAMOS,7.44,-106.3214,35.8644,21.7,8.3,Weak Hot
2013-08-17,WHITING FLD NAS,-8.86,-87.0167,30.7167,23.9,21.1,Weak Cold
2013-10-30,FIRST CONNECTICUT LAKE,-8.89,-71.2906,45.09,2.8,-8.9,Weak Cold
2013-12-10,MADERA,-6.51,-120.0378,36.9539,10.0,-5.0,Weak Cold
2013-01-12,ALAMOSA SAN LUIS AP,-30.79,-105.8614,37.4389,-13.3,-35.6,Strong Cold
2013-12-23,LINESVILLE 1 S,13.13,-80.425,41.6458,15.6,1.1,Weak Hot
2013-11-14,RIVERSIDE FIRE STN 3,10.52,-117.3881,33.9511,33.9,10.0,Weak Hot
2013-08-28,CINCINNATI LUNKEN AP,5.37,-84.4189,39.1033,35.0,23.3,Weak Hot
2013-01-22,LAONA 6 SW,-17.18,-88.7594,45.5119,-23.3,-28.9,Weak Cold
2013-10-04,BLOOMINGTON IN UNIV,11.86,-86.5214,39.1742,27.2,18.9,Weak Hot
2013-01-15,LOS ANGELES INTL AP,-5.9,-118.3889,33.9381,13.9,3.3,Weak Cold
2013-05-29,LITCHFIELD PARK,7.32,-112.3631,33.4992,35.6,22.8,Weak Hot
2013-08-30,GOODLAND,8.06,-101.7,39.3669,38.9,17.8,Weak Hot
