date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-07-30,CORPUS CHRISTI,2.85,-97.5108,27.7839,35.6,26.7,Weak Hot
2013-04-11,STAUNTON WATER TRMTMT PLT,12.5,-79.0844,38.1692,30.6,15.0,Weak Hot
2013-04-10,MINCHUMINA,-14.86,-152.2817,63.9033,-11.7,-22.2,Weak Cold
2013-01-12,JACKSON 3 NW,16.52,-82.7078,39.08,15.6,9.4,Weak Hot
2013-04-20,MOBILE DWTN AP,-10.07,-88.0681,30.6264,20.0,4.4,Weak Cold
2013-03-02,DOUGLAS,-13.21,-82.8206,31.4889,8.9,0.0,Weak Cold
2013-07-03,WILLIAMSPORT,5.53,-76.9217,41.2433,29.4,22.2,Weak Hot
2013-06-04,SUNDANCE,-12.09,-104.3567,44.4122,11.7,3.9,Weak Cold
2013-12-06,GLASGOW #2,-44.02,-106.6383,48.1925,-25.0,-35.0,Strong Cold
2013-05-03,BALMORHEA,-33.37,-103.7403,30.9844,13.3,-1.7,Strong Cold
2013-08-10,HULAH DAM,-9.86,-96.1,36.9167,23.3,18.3,Weak Cold
2013-02-07,HAWKINSVILLE,10.05,-83.4681,32.2842,26.7,7.8,Weak Hot
2013-09-01,GAINESVILLE LOCK,5.26,-88.1342,32.8347,35.0,22.8,Weak Hot
2013-07-10,POCATELLO RGNL AP,6.38,-112.5711,42.9203,37.8,10.0,Weak Hot
2013-02-07,WHITNEY DAM,11.63,-97.375,31.8611,22.2,14.4,Weak Hot
2013-11-02,VALDEZ WSO,7.62,-146.3517,61.1303,5.0,2.8,Weak Hot
2013-10-05,ELSBERRY 1 S,11.29,-90.7847,39.1506,31.7,12.2,Weak Hot
2013-07-07,STORRS,6.33,-72.2286,41.795,30.6,22.8,Weak Hot
2013-01-03,WINSTON,-22.93,-107.6492,33.3497,-2.8,-16.7,Strong Cold
2013-08-15,NEWPORT BEACH HARBOR,-3.25,-117.8803,33.6025,19.4,16.7,Weak Cold
2013-08-09,SAN DIEGO MIRAMAR NAS,-5.21,-117.1333,32.8667,23.3,12.2,Weak Cold
2013-11-26,CORINTH 7 SW,-14.07,-88.6178,34.8792,3.3,0.0,Weak Cold
2013-06-28,BARSTOW DAGGETT AP,8.12,-116.7858,34.8536,45.0,25.0,Weak Hot
2013-07-30,DENISON,-10.23,-95.3289,42.0364,18.9,12.2,Weak Cold
2013-05-30,PINSON,8.21,-86.685,33.6906,28.9,21.1,Weak Hot
2013-01-14,LINESVILLE 1 S,17.64,-80.425,41.6458,17.8,-1.7,Weak Hot
2013-07-30,STEAMBOAT SPRINGS,-8.68,-106.8233,40.4883,19.4,8.3,Weak Cold
2013-05-03,UNION 8 S,-9.88,-81.6628,34.6053,17.2,12.8,Weak Cold
2013-06-29,LOGAN RADIO KVNU,11.24,-111.8561,41.7353,37.2,14.4,Weak Hot
2013-09-04,WENATCHEE,7.62,-120.31,47.4289,31.1,18.3,Weak Hot
2013-09-11,ATLANTIC CITY,6.11,-74.4242,39.3792,26.7,23.3,Weak Hot
2013-05-31,MCALLEN,4.28,-98.2511,26.1917,35.6,25.6,Weak Hot
2013-10-07,WILMINGTON 7 N,10.29,-77.9206,34.3208,29.4,21.1,Weak Hot
2013-04-29,DONNER MEM SP,11.63,-120.2331,39.3239,23.3,-1.7,Weak Hot
2013-06-29,LULING,7.94,-97.6578,29.6756,41.1,20.6,Weak Hot
2013-12-20,VICTORIA RGNL AP,12.65,-96.9303,28.8614,25.6,20.0,Weak Hot
2013-10-29,POLSON KERR DAM,-20.07,-114.2419,47.6775,2.8,-7.2,Strong Cold
2013-01-29,STEPHENVILLE,31.73,-98.2319,32.2314,26.1,18.9,Strong Hot
2013-07-10,FT SCOTT,7.72,-94.7086,37.8428,37.8,28.9,Weak Hot
2013-03-14,PASO ROBLES,11.05,-120.6856,35.6278,31.1,5.0,Weak Hot
2013-04-03,LONDON STATE FISH HATCHERY,-10.74,-83.5097,39.8972,5.0,-7.2,Weak Cold
2013-08-30,BURLINGTON MUNI AP,15.46,-91.1253,40.7833,37.8,23.9,Strong Hot
2013-05-04,NESS CITY,-12.97,-99.91,38.4478,16.1,-3.3,Weak Cold
2013-01-13,CLEVELAND,16.97,-81.86,41.4131,17.8,2.8,Weak Hot
2013-12-21,DRESDEN,15.71,-88.7064,36.2836,19.4,14.4,Weak Hot
2013-11-17,NEVADA WTP,14.33,-94.3736,37.8394,21.1,16.1,Weak Hot
2013-04-05,TAHOKA,-9.07,-101.7981,33.1714,22.8,-1.7,Weak Cold
2013-08-25,MASON CITY MUNI AP,7.12,-93.3269,43.1544,32.2,21.7,Weak Hot
2013-12-10,FT HALL 1 NNE,-14.93,-112.4133,43.0428,-10.6,-23.9,Weak Cold
2013-11-22,MARTIN,-14.53,-101.7386,43.1803,0.0,-19.4,Weak Cold
2013-05-05,HELENA 1 SSE,-12.87,-98.2661,36.5381,13.3,3.9,Weak Cold
2013-03-10,DEER FLAT DAM,9.57,-116.7475,43.5764,15.6,10.0,Weak Hot
2013-05-01,PORTHILL,-18.71,-116.4992,48.9994,9.4,-3.3,Strong Cold
2013-06-23,KANOPOLIS LAKE,6.63,-97.9597,38.6078,33.9,22.8,Weak Hot
2013-06-01,HOLTER DAM,-8.25,-112.0122,46.9914,19.4,1.1,Weak Cold
2013-11-25,CROSSETT 2 SSE,-13.72,-91.9481,33.1111,5.0,-2.2,Weak Cold
